no	period	company	project_key	dc_name	contractor	owner	location	amount_bn	mw	mw2	x1	x2	공사명	발주처	계약일	완공예정일	기본도급액	완성공사액	계약잔액	단위
213	19Q1	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	193	#N/A	#N/A	N/A	N/A	아산 DC	삼성디스플레이(주)	2015-05-01	2017-12-31	192,653	187,578	5,075	백만원
214	19Q2	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	100	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이㈜	2017-03-01	2019-02-01	100,123	74,495	25,628	백만원
215	19Q2	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	193	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이㈜	2015-05-01	2017-12-01	192,653	187,583	5,070	백만원
216	19Q2	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	90	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2019-12-01	89,929	85,854	4,075	백만원
217	19Q3	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	110	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2019-12-01	110,159	83,277	26,882	백만원
218	19Q3	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	100	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2019-12-01	100,042	96,728	3,314	백만원
219	19Q4	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	127	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2020-12-01	126,925	107,363	19,562	백만원
220	19Q4	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	110	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2020-12-01	110,156	93,611	16,545	백만원
221	20Q1	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	128	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2020-12-01	128,239	116,360	11,879	백만원
222	20Q2	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	145	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2020-12-01	144,945	122,100	22,845	백만원
223	20Q2	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	109	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2020-12-01	109,247	103,086	6,161	백만원
224	20Q3	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	147	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2020-12-01	147,320	128,307	19,013	백만원
225	20Q3	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	109	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2020-12-01	109,248	103,072	6,176	백만원
226	20Q4	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	178	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2020-12-01	177,512	139,422	38,090	백만원
227	21Q1	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	151	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2021-05-31	151,241	143,235	8,006	백만원
228	21Q2	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	152	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2021-05-01	151,897	145,425	6,472	백만원
